2014-11-07 17:40:09,009 | INFO  | main                              | Available cores: 4
2014-11-07 17:40:09,009 | INFO  | main                              | Started Fri Nov 07 17:40:09 CET 2014
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.1
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.2
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.3
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.4
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.5
2014-11-07 17:40:09,071 | DEBUG | main                              | Thread[main,5,main]: target\sucessful.csv.6
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000500]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000100]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000501]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000200]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000000]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000201]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000502]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000101]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000503]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000504]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000505]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000506]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000202]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-2  | Created Data [emdNumber=6074560000001]
2014-11-07 17:40:09,212 | DEBUG | main                              | Created Data [emdNumber=6074560000203]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000507]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-3  | Created Data [emdNumber=6074560000102]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000508]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000509]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000510]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000511]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000512]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000513]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000514]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000515]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000516]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000517]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000518]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000519]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000520]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000521]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000522]
2014-11-07 17:40:09,212 | DEBUG | ForkJoinPool.commonPool-worker-1  | Created Data [emdNumber=6074560000523]
